IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry,Price_1W,Price_1M,Price_6M,Price_1Y,Return_1W_pct,Return_1M_pct,Return_6M_pct,Return_1Y_pct,Market Cap Size,Success_Q2
2020-11-19,YSG,Yatsen Holding Limited,92.0,4.12,-60.76,378.46,2020,Household & Personal Products,84.3,83.55,49.1,15.0,-8.37,-9.18,-46.63,-83.7,Mid Cap,0
2020-10-29,GLTO,"Galecto, Inc.",375.0,3.04,-79.47,4.02,2020,Biotechnology,375.0,396.25,147.75,82.5,0.0,5.67,-60.6,-78.0,Small Cap,0
2020-10-28,ROOT,"Root, Inc.",486.0,143.61,431.89,2210.0,2020,Insurance - Property & Casualty,414.54,310.14,197.64,86.76,-14.7,-36.19,-59.33,-82.15,Large Cap,0
2020-10-21,YGMZ,MingZhu Logistics Holdings Limited,34.0,1.29,-67.5,98.92,2020,Trucking,30.84,30.4,33.2,22.64,-9.29,-10.59,-2.35,-33.41,Small Cap,0
2020-10-16,ALGS,"Aligos Therapeutics, Inc.",371.25,4.96,-64.13,30.3,2020,Biotechnology,377.5,522.75,539.5,397.75,1.68,40.81,45.32,7.14,Small Cap,1
2020-10-16,PRAX,"Praxis Precision Medicines, Inc.",417.0,39.04,109.9,795.1,2020,Biotechnology,464.85,472.2,379.5,300.15,11.47,13.24,-8.99,-28.02,Mid Cap,0
2020-10-09,INTZ,Intrusion Inc.,182.2,1.44,-80.88,29.86,2020,Software - Infrastructure,219.4,206.0,544.8,74.4,20.42,13.06,199.01,-59.17,Small Cap,0
2020-10-01,LXEH,"Lixiang Education Holding Co., Ltd.",150.0,2.1,-77.3,40.25,2020,Education & Training Services,141.4,170.6,164.0,157.5,-5.73,13.73,9.33,5.0,Small Cap,1
2020-09-25,AMST,Amesite Inc.,62.64,2.18,-56.4,8.71,2020,Software - Application,57.24,50.4,61.68,21.36,-8.62,-19.54,-1.53,-65.9,Small Cap,0
2020-09-25,SYTA,Siyata Mobile Inc.,565740.0,1.06,-84.97,3.18,2020,Communication Equipment,565740.0,709380.0,1193220.0,477540.0,0.0,25.39,110.91,-15.59,Small Cap,0
2020-09-17,AMWL,American Well Corporation,461.4,7.29,-59.0,113.8,2020,Health Information Services,554.4,710.8,440.4,225.0,20.16,54.05,-4.55,-51.24,Small Cap,0
2020-09-15,OM,"Outset Medical, Inc.",910.2,12.05,-54.63,213.28,2020,Medical Devices,804.45,750.3,750.15,774.75,-11.62,-17.57,-17.58,-14.88,Small Cap,0
2020-09-01,PRFX,PainReform Ltd.,404.4,2.3,-71.44,3.92,2020,Drug Manufacturers - Specialty & Generic,390.6,270.0,385.2,180.6,-3.41,-33.23,-4.75,-55.34,Small Cap,0
2020-08-14,CVAC,CureVac N.V.,55.9,3.48,-78.44,782.42,2020,Biotechnology,67.2,53.13,115.98,58.8,20.21,-4.96,107.48,5.19,Mid Cap,1
2020-08-05,BIGC,"BigCommerce Holdings, Inc.",72.27,5.08,-78.67,403.72,2020,Software - Application,79.8,106.98,78.33,71.33,10.42,48.03,8.39,-1.3,Mid Cap,0
2020-07-15,GOCO,"GoHealth, Inc.",291.9,7.75,-58.05,183.73,2020,Insurance Brokers,329.7,252.3,222.15,150.6,12.95,-13.57,-23.9,-48.41,Small Cap,0
2020-07-10,QH,Quhuo Limited,1277.0,1.26,-87.1,113.02,2020,Software - Application,1051.0,882.0,742.0,369.0,-17.7,-30.93,-41.9,-71.1,Small Cap,0
2020-06-30,ADTX,"Aditxt, Inc.",101200000.0,2.2,-73.22,2.55,2020,Biotechnology,77000000.0,76000000.0,44400000.0,51800000.0,-23.91,-24.9,-56.13,-48.81,Small Cap,0
2020-06-26,EBON,Ebang International Holdings Inc.,150.0,3.64,-30.4,22.86,2020,Computer Hardware,131.1,143.7,144.3,92.7,-12.6,-4.2,-3.8,-38.2,Small Cap,0
2020-06-26,PYPD,PolyPid Ltd.,570.0,2.8,-82.56,28.53,2020,Biotechnology,519.9,487.5,310.5,285.0,-8.79,-14.47,-45.53,-50.0,Small Cap,0
2020-06-19,BIOR,"Biora Therapeutics, Inc.",3280.0,0.56,-96.27,2.48,2020,Biotechnology,2495.0,2572.5,1162.5,752.5,-23.93,-21.57,-64.56,-77.06,Small Cap,0
2020-06-12,BNR,Burning Rock Biotech Limited,246.3,2.44,-84.12,25.03,2020,Diagnostics & Research,287.9,283.5,262.6,296.7,16.89,15.1,6.62,20.46,Small Cap,1
2020-05-08,CLEU,China Liberal Education Holdings Limited,73.5,1.95,-68.5,6.56,2020,Education & Training Services,64.65,58.95,84.75,54.45,-12.04,-19.8,15.31,-25.92,Small Cap,0
2020-04-01,WIMI,"WiMi Hologram Cloud, Inc.",55.0,0.31,-94.42,30.16,2020,Advertising Agencies,54.85,48.8,58.9,66.4,-0.27,-11.27,7.09,20.73,Small Cap,1
2020-02-24,ZCMD,Zhongchao Inc.,40.3,1.19,-70.25,30.05,2020,Health Information Services,36.0,24.2,21.95,20.7,-10.67,-39.95,-45.53,-48.64,Small Cap,0
2020-02-13,SDOT,Sadot Group Inc.,38.6,1.49,-69.2,8.74,2020,Farm Products,36.9,21.9,26.4,30.2,-4.4,-43.26,-31.61,-21.76,Small Cap,0
2020-02-12,HUIZ,Huize Holding Limited,50.0,2.14,-79.53,21.59,2020,Insurance Brokers,52.35,41.3,44.5,43.6,4.7,-17.4,-11.0,-12.8,Small Cap,0
2020-01-17,SOGP,Sound Group Inc.,116.3,1.26,-87.76,6.21,2020,Internet Content & Information,111.0,102.3,70.0,38.0,-4.56,-12.04,-39.81,-67.33,Small Cap,0
2019-12-19,INDO,Indonesia Energy Corporation Limited,11.0,2.35,-78.55,24.32,2019,Oil & Gas E&P,7.41,8.3,5.12,4.11,-32.64,-24.55,-53.45,-62.64,Small Cap,0
2019-12-13,SPT,"Sprout Social, Inc.",17.0,21.11,25.59,1230.0,2019,Software - Application,16.0,18.52,28.25,46.25,-5.88,8.94,66.18,172.06,Mid Cap,1
2019-12-12,BILL,"BILL Holdings, Inc.",22.0,45.24,105.64,4610.0,2019,Software - Application,38.2,39.49,70.35,143.43,73.64,79.5,219.77,551.95,Large Cap,1
2019-12-12,EH,EHang Holdings Limited,12.5,18.75,51.28,1350.0,2019,Aerospace & Defense,9.4,13.32,12.67,18.93,-24.8,6.56,1.36,51.44,Mid Cap,1
2019-12-11,XP,XP Inc.,27.0,15.9,-41.19,8540.0,2019,Capital Markets,34.3,33.84,36.94,33.38,27.04,25.33,36.81,23.63,Large Cap,1
2019-12-05,LMPX,"LMP Automotive Holdings, Inc.",5.0,0.35,-93.0,17.45,2019,Auto & Truck Dealerships,0.01,0.01,0.0,0.01,-99.8,-99.8,-100.0,-99.8,Small Cap,0
2019-11-22,PINE,"Alpine Income Property Trust, Inc.",19.0,15.29,-18.63,236.85,2019,REIT - Retail,13.45,13.56,8.84,11.75,-29.21,-28.63,-53.47,-38.16,Small Cap,0
2019-11-21,CAN,Canaan Inc.,9.0,0.62,-92.86,231.94,2019,Computer Hardware,8.25,4.77,4.37,4.28,-8.33,-47.0,-51.44,-52.44,Small Cap,0
2019-11-21,SITM,SiTime Corporation,13.0,165.41,,3920.0,2019,Semiconductors,17.49,21.64,30.93,82.3,34.54,66.46,137.92,533.08,Large Cap,1
2019-11-11,ETNB,"89bio, Inc.",16.0,8.61,-45.88,1260.0,2019,Biotechnology,28.27,28.83,31.2,24.3,76.69,80.19,95.0,51.88,Mid Cap,1
2019-11-08,TELA,"TELA Bio, Inc.",13.0,0.99,-92.15,39.16,2019,Medical Devices,12.09,12.15,12.21,16.33,-7.0,-6.54,-6.08,25.62,Small Cap,1
2019-11-05,XHG,XChange TEC.INC,,0.12,,2.48,2019,Insurance Brokers,72560.0,57920.0,47452.0,14800.0,,,,,Small Cap,0
2019-10-31,RAPT,"RAPT Therapeutics, Inc.",12.0,0.92,-91.94,121.45,2019,Biotechnology,22.27,25.91,16.12,28.74,85.58,115.92,34.33,139.5,Small Cap,1
2019-10-25,CABA,"Cabaletta Bio, Inc.",11.0,1.28,-88.41,64.95,2019,Biotechnology,10.75,13.2,6.75,12.06,-2.27,20.0,-38.64,9.64,Small Cap,1
