IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry
"Oct 1, 2020",LXEH,"Lixiang Education Holding Co., Ltd.",9.25,2.1,-77.3,40.25,2020,Education & Training Services
"Oct 1, 2020",RCHG,Recharge Acquisition Corp.,10.0,10.12,1.2,253.51,2020,N/A
"Oct 1, 2020",THRY,"Thryv Holdings, Inc.",10.17,13.88,37.46,606.87,2020,Internet Content & Information
"Sep 30, 2020",ASAN,"Asana, Inc.",21.0,16.09,-22.81,3750.0,2020,Software - Application
"Sep 30, 2020",CD,Chindata Group Holdings Limited,13.5,8.45,-37.41,3100.0,2020,N/A
"Sep 30, 2020",PLTR,Palantir Technologies Inc.,7.25,123.97,,292530.0,2020,Software - Infrastructure
"Sep 30, 2020",YALA,Yalla Group Limited,7.5,7.03,-7.6,1110.0,2020,Software - Application
"Sep 29, 2020",ORPHY,Orphazyme A/S,11.0,,,1.06,2020,N/A
"Sep 25, 2020",AMST,Amesite Inc.,5.0,2.18,-56.4,8.71,2020,Software - Application
"Sep 25, 2020",GLSI,"Greenwich LifeSciences, Inc.",5.75,9.85,73.91,130.74,2020,Biotechnology
"Sep 25, 2020",GRAY,"Graybug Vision, Inc.",16.0,5.5,-65.63,120.98,2020,N/A
"Sep 25, 2020",PMVP,"PMV Pharmaceuticals, Inc.",18.0,0.95,-94.46,49.38,2020,Biotechnology
"Sep 25, 2020",PRLD,Prelude Therapeutics Incorporated,19.0,0.83,-95.33,46.57,2020,Biotechnology
"Sep 25, 2020",SYTA,Siyata Mobile Inc.,7.25,1.06,-84.97,3.18,2020,Communication Equipment
"Sep 24, 2020",TSHA,"Taysha Gene Therapies, Inc.",20.0,2.46,-88.0,503.41,2020,Biotechnology
"Sep 23, 2020",BSY,"Bentley Systems, Incorporated",22.0,43.84,101.25,13830.0,2020,Software - Application
"Sep 23, 2020",CRSR,"Corsair Gaming, Inc.",17.0,6.99,-57.97,739.68,2020,Computer Hardware
"Sep 23, 2020",GDRX,"GoodRx Holdings, Inc.",33.0,4.69,-85.79,1800.0,2020,Health Information Services
"Sep 23, 2020",LSF,"Laird Superfood, Inc.",22.0,6.31,-72.09,64.99,2020,Packaged Foods
"Sep 22, 2020",PMVC,PMV Consumer Acquisition Corp.,10.0,10.02,0.2,62.34,2020,N/A
"Sep 18, 2020",ATHA,"Athira Pharma, Inc.",17.0,0.28,-98.34,10.74,2020,Biotechnology
"Sep 18, 2020",CMPS,COMPASS Pathways plc,17.0,4.05,-76.09,375.33,2020,Medical Care Facilities
"Sep 18, 2020",NMMC,North Mountain Merger Corp.,10.0,10.02,0.2,165.48,2020,N/A
"Sep 18, 2020",U,Unity Software Inc.,52.0,21.47,-58.35,8920.0,2020,Software - Application
"Sep 18, 2020",VTRU,Vitru Limited,16.0,9.07,-43.31,304.24,2020,N/A
"Sep 17, 2020",AMWL,American Well Corporation,18.0,7.29,-59.0,113.8,2020,Health Information Services
"Sep 17, 2020",BNL,"Broadstone Net Lease, Inc.",17.0,16.03,-4.94,3170.0,2020,REIT - Diversified
"Sep 17, 2020",DYN,"Dyne Therapeutics, Inc.",19.0,11.84,-37.32,1340.0,2020,Biotechnology
"Sep 17, 2020",PTVE,"Pactiv Evergreen, Inc.",14.0,18.01,28.64,3250.0,2020,N/A
"Sep 17, 2020",SUMO,"Sumo Logic, Inc.",22.0,12.04,-45.27,1490.0,2020,N/A
"Sep 16, 2020",EQD,Equity Distribution Acquisition Corp.,10.0,10.02,0.2,518.54,2020,N/A
"Sep 16, 2020",FROG,JFrog Ltd.,44.0,34.39,-21.25,3940.0,2020,Software - Application
"Sep 16, 2020",MTCR,"Metacrine, Inc.",13.0,0.58,-95.53,25.48,2020,N/A
"Sep 16, 2020",SNOW,Snowflake Inc.,120.0,167.92,41.67,56030.0,2020,Software - Application
"Sep 16, 2020",STEP,StepStone Group Inc.,18.0,53.66,200.11,6280.0,2020,Asset Management
"Sep 15, 2020",OM,"Outset Medical, Inc.",27.0,12.05,-54.63,213.28,2020,Medical Devices
"Sep 11, 2020",LEAP,"Ribbit LEAP, Ltd.",10.0,10.02,0.2,586.22,2020,N/A
"Sep 11, 2020",LSPD,Lightspeed Commerce Inc.,30.5,9.68,-68.28,1410.0,2020,Software - Application
"Sep 10, 2020",PIAI,Prime Impact Acquisition I,10.0,10.82,8.2,137.74,2020,N/A
"Sep 4, 2020",TWND,Tailwind Acquisition Corp.,10.0,9.72,-2.5,113.56,2020,N/A
"Sep 1, 2020",PRFX,PainReform Ltd.,8.0,2.3,-71.44,3.92,2020,Drug Manufacturers - Specialty & Generic
"Aug 28, 2020",GP,GreenPower Motor Company Inc.,20.0,0.45,-97.73,12.82,2020,Farm & Heavy Construction Machinery
"Aug 27, 2020",XPEV,XPeng Inc.,15.0,19.94,32.93,18960.0,2020,Auto Manufacturers
"Aug 21, 2020",FST,FAST Acquisition Corp.,10.0,10.18,1.8,254.5,2020,N/A
"Aug 21, 2020",KYMR,"Kymera Therapeutics, Inc.",20.0,33.63,70.3,2180.0,2020,Biotechnology
"Aug 21, 2020",NNOX,Nano-X Imaging Ltd.,18.0,5.04,-72.56,321.36,2020,Medical Devices
"Aug 19, 2020",HRMY,"Harmony Biosciences Holdings, Inc.",24.0,29.93,25.5,1720.0,2020,Biotechnology
"Aug 19, 2020",INBX,"Inhibrx Biosciences, Inc.",17.0,12.33,-29.94,178.49,2020,Biotechnology
"Aug 14, 2020",CVAC,CureVac N.V.,16.0,3.48,-78.44,782.42,2020,Biotechnology
"Aug 14, 2020",DCT,Delta Charter Township Michigan,27.0,18.99,-29.67,2520.0,2020,N/A
"Aug 13, 2020",BEKE,KE Holdings Inc.,20.0,20.82,3.28,25000.0,2020,Real Estate Services
"Aug 13, 2020",NTST,NETSTREIT Corp.,18.0,16.09,-10.89,1320.0,2020,REIT - Retail
"Aug 13, 2020",RBAC,RedBall Acquisition Corp.,10.0,,,720.19,2020,N/A
"Aug 7, 2020",FRLN,Freeline Therapeutics Holdings PLC,18.0,6.48,-64.0,28.24,2020,N/A
"Aug 7, 2020",IBEX,IBEX Limited,19.0,25.71,35.58,339.16,2020,Information Technology Services
"Aug 6, 2020",OSH,"Oak Street Health, Inc.",21.0,39.0,85.71,9520.0,2020,N/A
"Aug 6, 2020",RKT,"Rocket Companies, Inc.",18.0,11.92,-33.25,23790.0,2020,Mortgage Finance
"Aug 5, 2020",BIGC,"BigCommerce Holdings, Inc.",24.0,5.08,-78.67,403.72,2020,Software - Application
"Aug 5, 2020",GOAC,GO Acquisition Corp.,10.0,,,719.47,2020,N/A
"Aug 5, 2020",RXT,"Rackspace Technology, Inc.",21.0,1.41,-93.24,334.6,2020,Software - Infrastructure
"Aug 4, 2020",HSAQ,Health Sciences Acquisitions Corp. 2,10.0,13.31,33.1,149.23,2020,N/A
"Jul 31, 2020",ETAC,E.merge Technology Acquisition Corp.,10.0,10.06,0.6,492.72,2020,N/A
"Jul 31, 2020",FTHM,Fathom Holdings Inc.,10.0,0.8,-91.7,21.76,2020,Real Estate Services
"Jul 31, 2020",VITL,"Vital Farms, Inc.",22.0,35.52,62.23,1580.0,2020,Farm Products
"Jul 31, 2020",VSTA,Vasta Platform Limited,19.0,4.51,-76.0,361.71,2020,Education & Training Services
"Jul 30, 2020",ALVR,"AlloVir, Inc.",17.0,9.81,-40.59,49.21,2020,N/A
"Jul 30, 2020",LI,Li Auto Inc.,11.5,25.24,119.74,25580.0,2020,Auto Manufacturers
"Jul 29, 2020",VERX,"Vertex, Inc.",19.0,39.05,106.37,6190.0,2020,Software - Application
"Jul 24, 2020",ANNX,"Annexon, Inc.",17.0,1.82,-88.41,199.13,2020,Biotechnology
"Jul 24, 2020",GRCY,Greencity Acquisition Corp.,10.0,,,16.41,2020,N/A
"Jul 24, 2020",INZY,"Inozyme Pharma, Inc.",16.0,1.49,-90.13,95.4,2020,Biotechnology
"Jul 24, 2020",ITOS,"iTeos Therapeutics, Inc.",19.0,7.2,-62.11,275.57,2020,Biotechnology
"Jul 24, 2020",NRIX,"Nurix Therapeutics, Inc.",19.0,10.94,-42.45,833.64,2020,Biotechnology
"Jul 23, 2020",EDTK,Skillful Craftsman Education Technology Limited,5.0,1.03,-79.4,16.41,2020,Education & Training Services
"Jul 23, 2020",ERES,East Resources Acquisition Co.,10.0,10.85,8.5,124.57,2020,N/A
"Jul 23, 2020",MEG,"Montrose Environmental Group, Inc.",15.0,15.22,1.8,527.58,2020,Waste Management
"Jul 22, 2020",JAMF,Jamf Holding Corp.,26.0,11.26,-56.65,1480.0,2020,Software - Application
"Jul 22, 2020",PSTH,"Pershing Square Tontine Holdings, Ltd.",20.0,20.14,0.7,4030.000000000001,2020,N/A
"Jul 17, 2020",ALXO,ALX Oncology Holdings Inc.,19.0,0.53,-97.25,28.29,2020,Biotechnology
"Jul 17, 2020",CELL,PhenomeX Inc.,22.0,1.0,-95.46,98.79,2020,N/A
"Jul 16, 2020",RLAY,"Relay Therapeutics, Inc.",20.0,3.31,-83.45,564.32,2020,Biotechnology
"Jul 16, 2020",TIG,"Trean Insurance Group, Inc.",15.0,,,315.63,2020,N/A
"Jul 15, 2020",GOCO,"GoHealth, Inc.",21.0,7.75,-58.05,183.73,2020,Insurance Brokers
"Jul 15, 2020",HPX,HPX Corp.,10.0,16.69,66.9,149.02,2020,N/A
"Jul 14, 2020",NCNO,"nCino, Inc.",31.0,22.27,-26.71,2570.0,2020,Software - Application
"Jul 10, 2020",IVA,Inventiva S.A.,14.4,3.57,-75.24,345.72,2020,Biotechnology
"Jul 10, 2020",NKTX,"Nkarta, Inc.",18.0,1.99,-89.19,140.85,2020,Biotechnology
"Jul 10, 2020",PSTX,"Poseida Therapeutics, Inc.",16.0,9.5,-40.63,928.85,2020,N/A
"Jul 10, 2020",QH,Quhuo Limited,10.0,1.26,-87.1,113.02,2020,Software - Application
"Jul 8, 2020",BLCT,BlueCity Holdings Ltd.,16.0,1.54,-90.38,57.7,2020,N/A
"Jul 2, 2020",ACCD,"Accolade, Inc.",22.0,7.02,-68.09,575.59,2020,N/A
"Jul 2, 2020",LMND,"Lemonade, Inc.",29.0,30.0,4.59,2200.0,2020,Insurance - Property & Casualty
"Jul 1, 2020",DNB,"Dun & Bradstreet Holdings, Inc.",22.0,8.97,-59.21,4000.0,2020,Financial Data & Stock Exchanges
"Jun 30, 2020",ADTX,"Aditxt, Inc.",9.0,2.2,-73.22,2.55,2020,Biotechnology
"Jun 26, 2020",ACI,"Albertsons Companies, Inc.",16.0,21.7,35.59,12490.0,2020,Grocery Stores
"Jun 26, 2020",API,"Agora, Inc.",20.0,3.45,-82.63,322.61,2020,Software - Application
"Jun 26, 2020",EBON,Ebang International Holdings Inc.,5.23,3.64,-30.4,22.86,2020,Computer Hardware
"Jun 26, 2020",FUSN,"Fusion Pharmaceuticals, Inc.",17.0,21.55,26.77,1830.0,2020,N/A
"Jun 26, 2020",PYPD,PolyPid Ltd.,16.0,2.8,-82.56,28.53,2020,Biotechnology
"Jun 24, 2020",BRLI,Brilliant Acquisition Corp.,10.0,4.7,-53.0,8.53,2020,N/A
"Jun 19, 2020",BIOR,"Biora Therapeutics, Inc.",15.0,0.56,-96.27,2.48,2020,Biotechnology
"Jun 19, 2020",GTH,Genetron Holdings Limited,16.0,4.03,-74.84,127.29,2020,N/A
"Jun 19, 2020",IMG,CIMG Inc.,,0.59,,17.67,2020,Packaged Foods
"Jun 19, 2020",RPTX,Repare Therapeutics Inc.,20.0,1.41,-92.95,59.73,2020,Biotechnology
"Jun 16, 2020",RPRX,Royalty Pharma plc,28.0,32.99,17.82,19020.0,2020,Biotechnology
"Jun 12, 2020",AZEK,The AZEK Company Inc.,23.0,49.77,116.37,7160.0,2020,Building Products & Equipment
"Jun 12, 2020",BNR,Burning Rock Biotech Limited,16.5,2.44,-84.12,25.03,2020,Diagnostics & Research
"Jun 12, 2020",GBIO,Generation Bio Co.,19.0,0.41,-97.68,27.38,2020,Biotechnology
"Jun 12, 2020",PCVX,"Vaxcyte, Inc.",16.0,34.28,115.0,4420.0,2020,Biotechnology
"Jun 12, 2020",RNA,"Avidity Biosciences, Inc.",18.0,32.28,80.83,3880.0,2020,Biotechnology
"Jun 11, 2020",LTRN,Lantern Pharma Inc.,15.0,3.67,-75.33,39.58,2020,Biotechnology
"Jun 10, 2020",UCL,uCloudlink Group Inc.,18.0,1.1,-93.77,41.4,2020,Telecom Services
"Jun 5, 2020",AMTI,"Applied Molecular Transport, Inc.",14.0,0.26,-98.12,11.01,2020,N/A
"Jun 5, 2020",CALT,Caltagirone SpA,19.5,40.0,105.13,927.78,2020,N/A
"Jun 5, 2020",DADA,Dada Nexus Limited,16.0,1.95,-87.84,504.25,2020,Internet Retail
"Jun 5, 2020",FOUR,"Shift4 Payments, Inc.",23.0,82.64,260.48,7320.0,2020,Software - Infrastructure
"Jun 5, 2020",LEGN,Legend Biotech Corporation,23.0,33.4,44.87,6130.0,2020,Biotechnology
"Jun 4, 2020",ZI,ZoomInfo Technologies Inc.,21.0,9.1,-56.52,3080.0,2020,Software - Application
"Jun 3, 2020",PLRX,"Pliant Therapeutics, Inc.",16.0,1.6,-89.66,98.22,2020,Biotechnology
"Jun 3, 2020",WMG,Warner Music Group Corp.,25.0,30.33,20.94,15780.0,2020,Entertainment
"May 22, 2020",NARI,"Inari Medical, Inc.",19.0,79.97,320.9,4700.0,2020,N/A
"May 21, 2020",SLQT,"SelectQuote, Inc.",20.0,2.51,-87.1,432.08,2020,Insurance Brokers
"May 15, 2020",ADCT,ADC Therapeutics SA,19.0,1.42,-92.42,140.83,2020,Biotechnology
"May 8, 2020",AYLA,"Ayala Pharmaceuticals, Inc.",15.0,0.5,-96.64,7.91,2020,N/A
"May 8, 2020",CLEU,China Liberal Education Holdings Limited,6.0,1.95,-68.5,6.56,2020,Education & Training Services
"May 8, 2020",KC,Kingsoft Cloud Holdings Limited,17.0,15.88,-6.21,4000.0,2020,Software - Application
"May 5, 2020",GAN,GAN Limited,8.5,1.81,-78.88,82.66,2020,Gambling
"May 1, 2020",LYRA,"Lyra Therapeutics, Inc.",16.0,0.1,-99.34,6.84,2020,Biotechnology
"Apr 24, 2020",ORIC,"ORIC Pharmaceuticals, Inc.",16.0,5.71,-64.31,405.9,2020,Biotechnology
"Apr 8, 2020",KROS,"Keros Therapeutics, Inc.",16.0,14.58,-8.56,592.11,2020,Biotechnology
"Apr 3, 2020",ZNTL,"Zentalis Pharmaceuticals, Inc.",18.0,1.36,-92.44,97.66,2020,Biotechnology
"Apr 1, 2020",WIMI,"WiMi Hologram Cloud, Inc.",5.5,0.31,-94.42,30.16,2020,Advertising Agencies
"Mar 12, 2020",ELVN,"Enliven Therapeutics, Inc.",16.0,20.33,26.38,996.26,2020,Biotechnology
"Mar 3, 2020",GFL,GFL Environmental Inc.,19.0,51.54,172.11,18500.0,2020,Waste Management
"Feb 28, 2020",PASG,"Passage Bio, Inc.",18.0,0.36,-97.81,22.27,2020,Biotechnology
"Feb 24, 2020",ZCMD,Zhongchao Inc.,4.0,1.19,-70.25,30.05,2020,Health Information Services
"Feb 13, 2020",RVMD,"Revolution Medicines, Inc.",17.0,39.8,134.09,7400.0,2020,Biotechnology
"Feb 13, 2020",SCNX,"Scienture Holdings, Inc.",,0.91,,11.4,2020,Pharmaceutical Retailers
"Feb 13, 2020",SDOT,Sadot Group Inc.,5.0,1.49,-69.2,8.74,2020,Farm Products
"Feb 12, 2020",HUIZ,Huize Holding Limited,10.5,2.14,-79.53,21.59,2020,Insurance Brokers
"Feb 7, 2020",NREF,"NexPoint Real Estate Finance, Inc.",19.0,14.21,-24.53,322.31,2020,REIT - Mortgage
"Feb 7, 2020",ONEW,OneWater Marine Inc.,12.0,12.09,-1.58,197.23,2020,Specialty Retail
"Feb 7, 2020",PFHD,Professional Holding Corp.,18.5,28.65,54.87,395.78,2020,N/A
"Feb 6, 2020",BEAM,Beam Therapeutics Inc.,17.0,19.82,16.59,1940.0,2020,Biotechnology
"Feb 6, 2020",SDGR,"Schrödinger, Inc.",17.0,25.98,53.65,1910.0,2020,Health Information Services
"Jan 31, 2020",ARQT,"Arcutis Biotherapeutics, Inc.",17.0,15.41,-10.12,1830.0,2020,Biotechnology
"Jan 31, 2020",ONEM,"1Life Healthcare, Inc.",14.0,16.47,17.64,3400.0,2020,N/A
"Jan 31, 2020",REYN,Reynolds Consumer Products Inc.,26.0,23.29,-9.65,4900.0,2020,Packaging & Containers
"Jan 30, 2020",BDTX,"Black Diamond Therapeutics, Inc.",19.0,1.67,-91.05,94.65,2020,Biotechnology
"Jan 30, 2020",FRES,Fresh2 Group Ltd.,12.0,0.85,-92.92,1.89,2020,N/A
"Jan 29, 2020",ANVS,"Annovis Bio, Inc.",6.0,1.55,-73.83,30.2,2020,Biotechnology
"Jan 24, 2020",SCVX,SCVX Corp.,10.0,10.01,0.1,95.52,2020,N/A
"Jan 17, 2020",IMAB,I-Mab,14.0,0.87,-93.29,70.91,2020,Biotechnology
"Jan 17, 2020",SOGP,Sound Group Inc.,11.0,1.26,-87.76,6.21,2020,Internet Content & Information
"Jan 17, 2020",VEL,"Velocity Financial, Inc.",13.0,16.9,29.08,616.71,2020,Mortgage Finance
