IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry
"Jul 25, 2019",CSTL,"Castle Biosciences, Inc.",16.0,18.73,17.06,540.27,2019,Diagnostics & Research
"Jul 25, 2019",HCAT,"Health Catalyst, Inc.",26.0,4.06,-84.31,285.06,2019,Health Information Services
"Jul 25, 2019",NOVA,Sunnova Energy International Inc.,12.0,0.21,-98.28,26.59,2019,Solar
"Jul 24, 2019",EIC,Eagle Point Income Company Inc.,19.0,14.54,-23.47,307.43,2019,Asset Management
"Jul 19, 2019",AFYA,Afya Limited,19.0,18.95,-0.26,1710.0,2019,Education & Training Services
"Jul 19, 2019",IFS,Intercorp Financial Services Inc.,46.0,34.61,-23.87,3890.0,2019,Banks - Regional
"Jul 18, 2019",AMK,"AssetMark Financial Holdings, Inc.",22.0,35.24,60.18,2640.0,2019,N/A
"Jul 18, 2019",FULC,"Fulcrum Therapeutics, Inc.",16.0,5.69,-64.44,307.14,2019,Biotechnology
"Jul 18, 2019",IHRT,"iHeartMedia, Inc.",17.0,1.06,-93.77,161.0,2019,Broadcasting
"Jul 18, 2019",MIRM,"Mirum Pharmaceuticals, Inc.",15.0,44.12,193.07,2180.0,2019,Biotechnology
"Jul 18, 2019",OBDC,Blue Owl Capital Corporation,15.3,13.84,-8.95,7070.0,2019,Asset Management
"Jul 18, 2019",PHR,"Phreesia, Inc.",17.0,25.24,49.41,1480.0,2019,Health Information Services
"Jul 17, 2019",DOYU,DouYu International Holdings Limited,11.5,7.62,-33.74,229.96,2019,Internet Content & Information
"Jul 12, 2019",THCA,Tuscan Holdings Corp. II,10.0,10.45,4.5,77.01,2019,N/A
"Jul 2, 2019",RMBI,"Richmond Mutual Bancorporation, Inc.",10.0,14.21,43.0,136.75,2019,Banks - Regional
"Jun 28, 2019",KRTX,"Karuna Therapeutics, Inc.",16.0,329.83,,12600.0,2019,N/A
"Jun 28, 2019",REAL,"The RealReal, Inc.",20.0,6.43,-67.7,727.19,2019,Luxury Goods
"Jun 27, 2019",ADPT,Adaptive Biotechnologies Corporation,20.0,10.02,-49.9,1520.0,2019,Biotechnology
"Jun 27, 2019",BBIO,"BridgeBio Pharma, Inc.",17.0,38.14,122.82,7240.0,2019,Biotechnology
"Jun 27, 2019",MORF,"Morphic Holding, Inc.",15.0,56.99,279.93,2860.0,2019,N/A
"Jun 26, 2019",CMBM,Cambium Networks Corporation,12.0,0.45,-96.25,12.71,2019,Communication Equipment
"Jun 20, 2019",AKRO,"Akero Therapeutics, Inc.",16.0,44.92,180.19,3580.0,2019,Biotechnology
"Jun 20, 2019",GO,Grocery Outlet Holding Corp.,22.0,16.3,-25.55,1600.0,2019,Grocery Stores
"Jun 20, 2019",PSNL,"Personalis, Inc.",17.0,4.26,-74.71,375.56,2019,Diagnostics & Research
"Jun 19, 2019",STOK,"Stoke Therapeutics, Inc.",18.0,9.71,-46.11,530.14,2019,Biotechnology
"Jun 14, 2019",CHWY,"Chewy, Inc.",22.0,37.85,72.27,15650.0,2019,Internet Retail
"Jun 13, 2019",FVRR,Fiverr International Ltd.,21.0,26.24,26.95,942.26,2019,Internet Content & Information
"Jun 12, 2019",CRWD,"CrowdStrike Holdings, Inc.",34.0,443.47,,109920.0,2019,Software - Infrastructure
"Jun 7, 2019",RVLV,"Revolve Group, Inc.",18.0,19.12,8.17,1360.0,2019,Internet Retail
"Jun 6, 2019",GOTU,Gaotu Techedu Inc.,10.5,3.4,-68.1,838.3,2019,Education & Training Services
"May 23, 2019",BCYC,Bicycle Therapeutics plc,14.0,9.08,-35.14,628.36,2019,Biotechnology
"May 23, 2019",IDYA,"IDEAYA Biosciences, Inc.",10.0,20.5,108.3,1790.0,2019,Biotechnology
"May 17, 2019",AVTR,"Avantor, Inc.",14.0,12.64,-9.43,8610.0,2019,Medical Instruments & Supplies
"May 17, 2019",FSLY,"Fastly, Inc.",16.0,5.8,-63.38,839.18,2019,Software - Application
"May 15, 2019",PSTL,"Postal Realty Trust, Inc.",17.0,12.66,-25.12,387.14,2019,REIT - Office
"May 14, 2019",AGBA,AGBA Group Holding Limited,10.0,1.4,-86.0,55.45,2019,N/A
"May 14, 2019",APLT,"Applied Therapeutics, Inc.",10.0,0.44,-95.4,61.98,2019,Biotechnology
"May 10, 2019",JFIN,Jiayin Group Inc.,10.5,12.43,17.43,663.38,2019,Internet Content & Information
"May 10, 2019",SONM,"Sonim Technologies, Inc.",11.0,1.43,-86.73,9.04,2019,Communication Equipment
"May 10, 2019",UBER,"Uber Technologies, Inc.",45.0,85.42,90.27,178640.0,2019,Software - Application
"May 9, 2019",AXLA,"Axcella Health, Inc.",20.0,0.4,-98.0,1.18,2019,N/A
"May 9, 2019",HHR,Headhunter Group PLC,13.5,,,761.05,2019,N/A
"May 9, 2019",MEC,"Mayville Engineering Company, Inc.",17.0,13.34,-21.24,272.4,2019,Metal Fabrication
"May 9, 2019",NXTC,"NextCure, Inc.",15.0,0.45,-96.87,12.58,2019,Biotechnology
"May 9, 2019",QNCX,"Quince Therapeutics, Inc.",17.0,1.09,-93.77,47.96,2019,Biotechnology
"May 9, 2019",SPFI,"South Plains Financial, Inc.",17.5,33.84,95.94,549.41,2019,Banks - Regional
"May 8, 2019",PSN,Parsons Corporation,27.0,61.13,126.48,6530.0,2019,Information Technology Services
"May 7, 2019",TRVI,"Trevi Therapeutics, Inc.",10.0,6.92,-32.5,669.04,2019,Biotechnology
"May 3, 2019",RRBI,"Red River Bancshares, Inc.",45.0,54.5,21.11,369.38,2019,Banks - Regional
"May 3, 2019",SCPL,SciPlay Corporation,16.0,22.94,43.38,495.49,2019,N/A
"May 3, 2019",YJ,Yunji Inc.,11.0,1.74,-85.23,8.58,2019,Internet Retail
"May 2, 2019",BYND,"Beyond Meat, Inc.",25.0,2.57,-89.8,196.3,2019,Packaged Foods
"May 2, 2019",SY,So-Young International Inc.,13.8,0.85,-93.96,85.47,2019,Health Information Services
"May 2, 2019",TMDX,"TransMedics Group, Inc.",16.0,92.21,486.56,3120.0,2019,Medical Devices
"Apr 30, 2019",WAFU,Wah Fu Education Group Limited,5.0,1.41,-71.92,6.2,2019,Education & Training Services
"Apr 18, 2019",HOOK,HOOKIPA Pharma Inc.,14.0,1.25,-91.07,15.68,2019,Biotechnology
"Apr 18, 2019",MNRL,"Brigham Minerals, Inc.",18.0,32.5,80.56,1960.0,2019,N/A
"Apr 18, 2019",PINS,"Pinterest, Inc.",19.0,27.48,45.26,18580.0,2019,Internet Content & Information
"Apr 18, 2019",ZM,Zoom Communications Inc.,36.0,78.23,120.0,23880.0,2019,Software - Application
"Apr 17, 2019",BWAY,BrainsWay Ltd.,11.0,8.71,-18.0,169.76,2019,Medical Devices
"Apr 17, 2019",PLMR,"Palomar Holdings, Inc.",15.0,155.69,937.93,4160.0,2019,Insurance - Property & Casualty
"Apr 12, 2019",JMIA,Jumia Technologies AG,14.5,2.48,-82.83,303.71,2019,Internet Retail
"Apr 11, 2019",PD,"PagerDuty, Inc.",24.0,15.15,-35.71,1380.0,2019,Software - Application
"Apr 11, 2019",TUFN,Tufin Software Technologies Ltd.,14.0,12.94,-7.57,502.59,2019,N/A
"Apr 5, 2019",GHSI,"Guardion Health Sciences, Inc.",4.0,3.25,-18.75,4.39,2019,Drug Manufacturers - Specialty & Generic
"Apr 4, 2019",NGM,"NGM Biopharmaceuticals, Inc.",16.0,1.54,-90.38,128.53,2019,N/A
"Apr 4, 2019",SILK,"Silk Road Medical, Inc.",20.0,27.49,37.45,1120.0,2019,N/A
"Apr 4, 2019",TW,Tradeweb Markets Inc.,27.0,144.31,432.33,34120.0,2019,Capital Markets
"Apr 2, 2019",XTKG,"X3 Holdings Co., Ltd.",,1.19,,16.38,2019,Software - Application
"Mar 29, 2019",HPH,Highest Performances Holdings Inc.,,6.65,,101.42,2019,Asset Management
"Mar 29, 2019",LYFT,"Lyft, Inc.",72.0,13.2,-81.92,5550.0,2019,Software - Application
"Mar 28, 2019",DTIL,"Precision BioSciences, Inc.",16.0,5.67,-64.31,59.43,2019,Biotechnology
"Mar 27, 2019",GNFT,Genfit S.A.,22.0,4.53,-78.77,213.17,2019,Biotechnology
"Mar 21, 2019",LEVI,Levi Strauss & Co.,17.0,16.29,-4.18,6440.0,2019,Apparel Manufacturing
"Mar 20, 2019",TIGR,UP Fintech Holding Limited,8.0,8.98,12.31,1570.0,2019,Capital Markets
"Mar 8, 2019",FUTU,Futu Holdings Limited,12.0,101.17,738.75,14090.0,2019,Capital Markets
"Mar 7, 2019",SWAV,"ShockWave Medical, Inc.",17.0,334.75,,12570.0,2019,N/A
"Feb 26, 2019",SLE,"Super League Enterprise, Inc.",11.0,0.35,-96.73,6.22,2019,Internet Content & Information
"Feb 15, 2019",AREC,American Resources Corporation,4.0,0.77,-80.0,59.52,2019,Coking Coal
"Feb 15, 2019",HOTH,"Hoth Therapeutics, Inc.",5.6,0.88,-84.11,11.57,2019,Biotechnology
"Feb 14, 2019",TCRR,TCR2 Therapeutics Inc.,15.0,1.48,-89.8,58.11,2019,N/A
"Feb 8, 2019",GOSS,"Gossamer Bio, Inc.",16.0,1.25,-92.75,284.03,2019,Biotechnology
"Feb 8, 2019",HARP,"Harpoon Therapeutics, Inc.",14.0,23.01,64.36,492.35,2019,N/A
"Feb 7, 2019",ALEC,"Alector, Inc.",19.0,1.16,-93.74,115.99,2019,Biotechnology
"Feb 4, 2019",INMB,"INmune Bio, Inc.",8.0,7.57,-5.0,173.87,2019,Biotechnology
"Jan 31, 2019",NFE,New Fortress Energy Inc.,14.0,5.54,-60.43,1520.0,2019,Oil & Gas Midstream
"Jan 17, 2019",RBKB,"Rhinebeck Bancorp, Inc.",10.0,11.42,14.2,123.21,2019,Banks - Regional
"Jan 9, 2019",BCOW,"1895 Bancorp of Wisconsin, Inc.",10.0,9.4,-6.0,52.07,2019,Banks - Regional
"Jan 8, 2019",MTC,"MMTec, Inc.",4.0,1.18,-70.7,29.72,2019,Software - Application
"Jan 4, 2019",SXTC,"China SXT Pharmaceuticals, Inc.",4.0,1.41,-40.5,19.41,2019,Drug Manufacturers - Specialty & Generic
"Dec 29, 2020",MRM,MEDIROM Healthcare Technologies Inc.,15.0,0.8,-94.67,6.32,2020,Personal Services
"Dec 23, 2020",CFIV,CF Acquisition Corp. IV,10.0,10.58,5.8,249.88,2020,N/A
"Dec 23, 2020",HCAR,Healthcare Services Acquisition Corporation,10.0,10.11,1.1,418.14,2020,N/A
