IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry,Price_1W,Price_1M,Price_6M,Price_1Y
2019-09-26,OPRT,Oportun Financial Corporation,15.0,5.55,-64.47,200.55,2019,Credit Services,14.420000076293945,16.989999771118164,11.5,11.220000267028809
2019-09-26,PTON,"Peloton Interactive, Inc.",29.0,6.89,-76.02,2690.0,2019,Leisure,22.329999923706055,22.399999618530273,24.56999969482422,97.7300033569336
2019-09-19,DDOG,"Datadog, Inc.",27.0,105.7,292.63,36500.0,2019,Software - Application,32.439998626708984,31.56999969482422,34.119998931884766,85.69000244140625
2019-09-19,XGN,Exagen Inc.,14.0,6.17,-57.0,110.34,2019,Diagnostics & Research,14.579999923706055,13.989999771118164,20.81999969482422,12.75
2019-09-18,IGMS,"IGM Biosciences, Inc.",16.0,1.39,-91.56,83.09,2019,Biotechnology,19.829999923706055,19.0,31.510000228881836,71.13999938964844
2019-09-18,NVST,Envista Holdings Corporation,22.0,17.01,-22.68,2880.0,2019,Medical Instruments & Supplies,27.739999771118164,28.770000457763672,17.040000915527344,25.639999389648438
2019-09-13,ALRS,Alerus Financial Corporation,21.0,20.92,-1.14,530.52,2019,Banks - Regional,18.38953971862793,18.02863311767578,14.537200927734375,18.84227752685547
2019-09-13,NET,"Cloudflare, Inc.",15.0,124.64,735.87,43190.0,2019,Software - Infrastructure,19.8700008392334,15.6899995803833,20.59000015258789,34.16999816894531
2019-09-13,SWTX,"SpringWorks Therapeutics, Inc.",18.0,46.23,156.78,3440.0,2019,Biotechnology,26.15999984741211,19.030000686645508,33.22999954223633,38.959999084472656
2019-09-12,TXG,"10x Genomics, Inc.",39.0,8.61,-78.36,1060.0,2019,Health Information Services,61.119998931884766,49.29999923706055,66.5,125.0
2019-08-15,JFU,9F Inc.,9.5,1.5,-85.68,17.66,2019,Information Technology Services,227.39999389648438,203.0,188.39999389648438,39.20000076293945
2019-08-14,BTOG,Bit Origin Ltd,5.0,0.18,-96.54,1.5,2019,Financial Data & Stock Exchanges,136.1999969482422,133.8000030517578,84.5999984741211,37.79999923706055
2019-08-08,INMD,InMode Ltd.,14.0,14.25,1.54,967.13,2019,Medical Devices,9.125,12.069999694824219,24.434999465942383,15.885000228881836
2019-08-05,AMTD,AMTD IDEA Group,8.38,1.0,-87.95,66.05,2019,Asset Management,58.31999969482422,54.36000061035156,48.959999084472656,42.0
2019-08-01,DT,"Dynatrace, Inc.",16.0,47.58,197.34,14240.0,2019,Software - Application,26.0,22.979999542236328,28.68000030517578,41.83000183105469
2019-08-01,KRUS,"Kura Sushi USA, Inc.",14.0,60.55,346.86,731.78,2019,Restaurants,21.0,25.06999969482422,24.040000915527344,10.390000343322754
2019-08-01,SNDL,SNDL Inc.,13.0,1.35,-89.58,346.06,2019,Beverages - Wineries & Distilleries,123.0,79.5999984741211,26.399999618530273,5.840000152587891
2019-07-31,BORR,Borr Drilling Limited,9.3,1.62,-82.2,387.68,2019,Oil & Gas Drilling,12.98270320892334,10.90920639038086,12.590418815612793,1.6868172883987427
2019-07-26,BHAT,Blue Hat Interactive Entertainment Technology,4.0,2.08,-46.5,10.27,2019,Electronic Gaming & Multimedia,3700.0,2795.0,1720.0,1320.0
2019-07-26,VIST,"Vista Energy, S.A.B. de C.V.",9.0,42.77,383.0,4640.0,2019,Oil & Gas E&P,9.279999732971191,5.650000095367432,8.119999885559082,3.619999885559082
2019-07-25,CSTL,"Castle Biosciences, Inc.",16.0,18.73,17.06,540.27,2019,Diagnostics & Research,21.950000762939453,23.5,30.8700008392334,39.040000915527344
2019-07-25,HCAT,"Health Catalyst, Inc.",26.0,4.06,-84.31,285.06,2019,Health Information Services,44.43000030517578,38.630001068115234,37.0,35.97999954223633
2019-07-25,NOVA,Sunnova Energy International Inc.,12.0,0.21,-98.28,26.59,2019,Solar,11.390000343322754,8.65999984741211,12.710000038146973,22.299999237060547
2019-07-24,EIC,Eagle Point Income Company Inc.,19.0,14.54,-23.47,307.43,2019,Asset Management,12.516632080078125,12.689659118652344,12.523310661315918,9.064170837402344
2019-07-19,AFYA,Afya Limited,19.0,18.95,-0.26,1710.0,2019,Education & Training Services,27.788583755493164,26.682964324951172,27.90704345703125,22.69483184814453
2019-07-19,IFS,Intercorp Financial Services Inc.,46.0,34.61,-23.87,3890.0,2019,Banks - Regional,32.49947738647461,30.39107322692871,30.135055541992188,21.126258850097656
2019-07-18,FULC,"Fulcrum Therapeutics, Inc.",16.0,5.69,-64.44,307.14,2019,Biotechnology,13.25,9.039999961853027,18.540000915527344,17.8799991607666
