IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year
"Sep 16, 2020",FROG,JFrog Ltd.,44.0,34.38,-21.86,3940.0,2020
"Sep 16, 2020",MTCR,"Metacrine, Inc.",13.0,0.58,-95.53,25.48,2020
"Sep 16, 2020",SNOW,Snowflake Inc.,120.0,168.45,40.38,56210.0,2020
"Sep 16, 2020",STEP,StepStone Group Inc.,18.0,52.98,194.33,6200.0,2020
"Sep 15, 2020",OM,"Outset Medical, Inc.",27.0,11.5,-57.41,203.55,2020
"Sep 11, 2020",LEAP,"Ribbit LEAP, Ltd.",10.0,10.02,0.2,586.22,2020
"Sep 11, 2020",LSPD,Lightspeed Commerce Inc.,30.5,9.73,-68.1,1420.0,2020
"Sep 10, 2020",PIAI,Prime Impact Acquisition I,10.0,10.82,8.2,137.74,2020
"Sep 4, 2020",TWND,Tailwind Acquisition Corp.,10.0,9.72,-2.5,113.56,2020
"Sep 1, 2020",PRFX,PainReform Ltd.,8.0,2.17,-72.31,3.7,2020
"Aug 28, 2020",GP,GreenPower Motor Company Inc.,20.0,0.43,-97.8,13.45,2020
"Aug 27, 2020",XPEV,XPeng Inc.,15.0,19.74,31.6,18770.0,2020
"Aug 21, 2020",FST,FAST Acquisition Corp.,10.0,10.18,1.8,254.5,2020
"Aug 21, 2020",KYMR,"Kymera Therapeutics, Inc.",20.0,28.55,42.75,1860.0,2020
"Aug 21, 2020",NNOX,Nano-X Imaging Ltd.,18.0,4.93,-72.61,314.35,2020
"Aug 19, 2020",HRMY,"Harmony Biosciences Holdings, Inc.",24.0,32.08,33.67,1840.0,2020
"Aug 19, 2020",INBX,"Inhibrx Biosciences, Inc.",17.0,12.44,-26.41,180.08,2020
"Aug 14, 2020",CVAC,CureVac N.V.,16.0,3.35,-79.06,754.27,2020
"Aug 14, 2020",DCT,Delta Charter Township Michigan,27.0,18.99,-29.67,2520.0,2020
"Aug 13, 2020",BEKE,KE Holdings Inc.,20.0,20.58,2.9,24710.0,2020
"Aug 13, 2020",NTST,NETSTREIT Corp.,18.0,16.06,-10.78,1320.0,2020
"Aug 13, 2020",RBAC,RedBall Acquisition Corp.,10.0,,,720.19,2020
"Aug 7, 2020",FRLN,Freeline Therapeutics Holdings PLC,18.0,6.48,-64.0,28.24,2020
"Aug 7, 2020",IBEX,IBEX Limited,19.0,25.76,35.58,341.01,2020
"Aug 6, 2020",OSH,"Oak Street Health, Inc.",21.0,39.0,85.71,9520.0,2020
"Aug 6, 2020",RKT,"Rocket Companies, Inc.",18.0,11.53,-35.94,23020.0,2020
"Aug 5, 2020",BIGC,"BigCommerce Holdings, Inc.",24.0,5.19,-78.38,410.88,2020
"Aug 5, 2020",GOAC,GO Acquisition Corp.,10.0,,,719.47,2020
"Aug 5, 2020",RXT,"Rackspace Technology, Inc.",21.0,1.38,-93.43,327.6,2020
"Aug 4, 2020",HSAQ,Health Sciences Acquisitions Corp. 2,10.0,13.31,33.1,149.23,2020
"Jul 31, 2020",ETAC,E.merge Technology Acquisition Corp.,10.0,10.06,0.6,492.72,2020
"Jul 31, 2020",FTHM,Fathom Holdings Inc.,10.0,0.9,-91.2,24.48,2020
"Jul 31, 2020",VITL,"Vital Farms, Inc.",22.0,36.01,63.66,1610.0,2020
"Jul 31, 2020",VSTA,Vasta Platform Limited,19.0,4.34,-77.16,344.87,2020
"Jul 30, 2020",ALVR,"AlloVir, Inc.",17.0,9.81,-40.59,49.21,2020
"Jul 30, 2020",LI,Li Auto Inc.,11.5,25.68,123.3,26020.0,2020
"Jul 29, 2020",VERX,"Vertex, Inc.",19.0,38.76,104.0,6130.0,2020
"Jul 24, 2020",ANNX,"Annexon, Inc.",17.0,1.65,-90.32,180.48,2020
"Jul 24, 2020",GRCY,Greencity Acquisition Corp.,10.0,,,16.41,2020
"Jul 24, 2020",INZY,"Inozyme Pharma, Inc.",16.0,1.26,-91.91,80.62,2020
"Jul 24, 2020",ITOS,"iTeos Therapeutics, Inc.",19.0,6.62,-65.16,253.37,2020
"Jul 24, 2020",NRIX,"Nurix Therapeutics, Inc.",19.0,9.71,-48.9,740.25,2020
"Jul 23, 2020",EDTK,Skillful Craftsman Education Technology Limited,5.0,0.92,-79.4,14.66,2020
"Jul 23, 2020",ERES,East Resources Acquisition Co.,10.0,10.85,8.5,124.57,2020
"Jul 23, 2020",MEG,"Montrose Environmental Group, Inc.",15.0,15.19,1.27,528.97,2020
"Jul 22, 2020",JAMF,Jamf Holding Corp.,26.0,11.36,-56.31,1500.0,2020
"Jul 22, 2020",PSTH,"Pershing Square Tontine Holdings, Ltd.",20.0,20.14,0.7,4030.0000000000005,2020
"Jul 17, 2020",ALXO,ALX Oncology Holdings Inc.,19.0,0.5,-97.35,26.91,2020
"Jul 17, 2020",CELL,PhenomeX Inc.,22.0,1.0,-95.46,98.79,2020
"Jul 16, 2020",RLAY,"Relay Therapeutics, Inc.",20.0,3.15,-84.25,540.05,2020
"Jul 16, 2020",TIG,"Trean Insurance Group, Inc.",15.0,,,315.63,2020
"Jul 15, 2020",GOCO,"GoHealth, Inc.",21.0,7.27,-65.38,170.21,2020
"Jul 15, 2020",HPX,HPX Corp.,10.0,16.69,66.9,149.02,2020
"Jul 14, 2020",NCNO,"nCino, Inc.",31.0,22.15,-28.55,2550.0,2020
"Jul 10, 2020",IVA,Inventiva S.A.,14.4,3.61,-74.97,347.93,2020
"Jul 10, 2020",NKTX,"Nkarta, Inc.",18.0,1.87,-89.61,131.98,2020
"Jul 10, 2020",PSTX,"Poseida Therapeutics, Inc.",16.0,9.5,-40.63,928.85,2020
"Jul 10, 2020",QH,Quhuo Limited,10.0,1.26,-87.4,113.02,2020
"Jul 8, 2020",BLCT,BlueCity Holdings Ltd.,16.0,1.54,-90.38,57.7,2020
"Jul 2, 2020",ACCD,"Accolade, Inc.",22.0,7.02,-68.09,575.59,2020
"Jul 2, 2020",LMND,"Lemonade, Inc.",29.0,30.31,4.52,2220.0,2020
"Jul 1, 2020",DNB,"Dun & Bradstreet Holdings, Inc.",22.0,8.97,-59.25,4000.0,2020
"Jun 30, 2020",ADTX,"Aditxt, Inc.",9.0,2.03,-77.44,2.35,2020
"Jun 26, 2020",ACI,"Albertsons Companies, Inc.",16.0,21.93,37.06,12630.0,2020
"Jun 26, 2020",API,"Agora, Inc.",20.0,3.35,-83.25,313.26,2020
"Jun 26, 2020",EBON,Ebang International Holdings Inc.,5.23,3.64,-30.4,23.09,2020
"Jun 26, 2020",FUSN,"Fusion Pharmaceuticals, Inc.",17.0,21.55,26.77,1830.0,2020
"Jun 26, 2020",PYPD,PolyPid Ltd.,16.0,2.76,-82.75,28.13,2020
"Jun 24, 2020",BRLI,Brilliant Acquisition Corp.,10.0,4.7,-53.0,8.53,2020
"Jun 19, 2020",BIOR,"Biora Therapeutics, Inc.",15.0,0.56,-96.27,2.48,2020
"Jun 19, 2020",GTH,Genetron Holdings Limited,16.0,4.03,-74.84,127.29,2020
"Jun 19, 2020",IMG,CIMG Inc.,,0.56,,16.91,2020
"Jun 19, 2020",RPTX,Repare Therapeutics Inc.,20.0,1.32,-93.4,56.11,2020
"Jun 16, 2020",RPRX,Royalty Pharma plc,28.0,32.17,14.89,18540.0,2020
"Jun 12, 2020",AZEK,The AZEK Company Inc.,23.0,49.63,115.78,7140.0,2020
"Jun 12, 2020",BNR,Burning Rock Biotech Limited,16.5,2.48,-85.33,26.7,2020
"Jun 12, 2020",GBIO,Generation Bio Co.,19.0,0.37,-98.04,24.98,2020
"Jun 12, 2020",PCVX,"Vaxcyte, Inc.",16.0,29.24,82.75,3770.0,2020
"Jun 12, 2020",RNA,"Avidity Biosciences, Inc.",18.0,26.26,45.89,3160.0,2020
"Jun 11, 2020",LTRN,Lantern Pharma Inc.,15.0,3.79,-74.73,40.87,2020
"Jun 10, 2020",UCL,uCloudlink Group Inc.,18.0,1.14,-93.67,42.9,2020
"Jun 5, 2020",AMTI,"Applied Molecular Transport, Inc.",14.0,0.26,-98.12,11.01,2020
"Jun 5, 2020",CALT,Caltagirone SpA,19.5,40.0,105.13,927.78,2020
"Jun 5, 2020",DADA,Dada Nexus Limited,16.0,1.97,-87.69,510.74,2020
"Jun 5, 2020",FOUR,"Shift4 Payments, Inc.",23.0,82.93,260.57,7350.0,2020
"Jun 5, 2020",LEGN,Legend Biotech Corporation,23.0,31.43,36.63,5760.0,2020
"Jun 4, 2020",ZI,ZoomInfo Technologies Inc.,21.0,8.9,-57.62,3010.0,2020
"Jun 3, 2020",PLRX,"Pliant Therapeutics, Inc.",16.0,1.44,-91.03,87.78,2020
"Jun 3, 2020",WMG,Warner Music Group Corp.,25.0,30.61,22.42,15930.0,2020
"May 22, 2020",NARI,"Inari Medical, Inc.",19.0,79.97,320.9,4700.0,2020
"May 21, 2020",SLQT,"SelectQuote, Inc.",20.0,2.47,-87.65,425.2,2020
"May 15, 2020",ADCT,ADC Therapeutics SA,19.0,1.28,-93.26,126.95,2020
"May 8, 2020",AYLA,"Ayala Pharmaceuticals, Inc.",15.0,0.5,-96.64,7.91,2020
"May 8, 2020",CLEU,China Liberal Education Holdings Limited,6.0,1.91,-68.5,6.43,2020
"May 8, 2020",KC,Kingsoft Cloud Holdings Limited,17.0,15.25,-10.29,3830.0,2020
"May 5, 2020",GAN,GAN Limited,8.5,1.81,-78.77,82.66,2020
"May 1, 2020",LYRA,"Lyra Therapeutics, Inc.",16.0,0.1,-99.36,6.72,2020
"Apr 24, 2020",ORIC,"ORIC Pharmaceuticals, Inc.",16.0,5.05,-68.44,358.28,2020
"Apr 8, 2020",KROS,"Keros Therapeutics, Inc.",16.0,13.8,-13.75,560.44,2020
"Apr 3, 2020",ZNTL,"Zentalis Pharmaceuticals, Inc.",18.0,1.25,-93.06,89.76,2020
"Apr 1, 2020",WIMI,"WiMi Hologram Cloud, Inc.",5.5,0.31,-94.42,30.16,2020
"Mar 12, 2020",ELVN,"Enliven Therapeutics, Inc.",16.0,19.8,23.75,964.9,2020
"Mar 3, 2020",GFL,GFL Environmental Inc.,19.0,51.03,168.55,18700.0,2020
"Feb 28, 2020",PASG,"Passage Bio, Inc.",18.0,0.34,-97.95,21.01,2020
"Feb 24, 2020",ZCMD,Zhongchao Inc.,4.0,1.3,-67.5,32.83,2020
"Feb 13, 2020",RVMD,"Revolution Medicines, Inc.",17.0,37.37,119.82,6950.0,2020
"Feb 13, 2020",SCNX,"Scienture Holdings, Inc.",,0.91,,11.39,2020
"Feb 13, 2020",SDOT,Sadot Group Inc.,5.0,1.41,-72.0,8.27,2020
"Feb 12, 2020",HUIZ,Huize Holding Limited,10.5,2.16,-79.43,21.79,2020
"Feb 7, 2020",NREF,"NexPoint Real Estate Finance, Inc.",19.0,14.22,-25.16,322.54,2020
"Feb 7, 2020",ONEW,OneWater Marine Inc.,12.0,12.46,3.83,202.28,2020
"Feb 7, 2020",PFHD,Professional Holding Corp.,18.5,28.65,54.87,395.78,2020
"Feb 6, 2020",BEAM,Beam Therapeutics Inc.,17.0,15.99,-5.94,1570.0,2020
"Feb 6, 2020",SDGR,"Schrödinger, Inc.",17.0,23.56,38.59,1730.0,2020
"Jan 31, 2020",ARQT,"Arcutis Biotherapeutics, Inc.",17.0,14.32,-15.77,1710.0,2020
"Jan 31, 2020",ONEM,"1Life Healthcare, Inc.",14.0,16.47,17.64,3400.0,2020
"Jan 31, 2020",REYN,Reynolds Consumer Products Inc.,26.0,22.87,-12.04,4820.0,2020
"Jan 30, 2020",BDTX,"Black Diamond Therapeutics, Inc.",19.0,1.47,-92.29,83.03,2020
"Jan 30, 2020",FRES,Fresh2 Group Ltd.,12.0,0.85,-92.92,1.89,2020
"Jan 29, 2020",ANVS,"Annovis Bio, Inc.",6.0,1.44,-76.0,28.06,2020
"Jan 24, 2020",SCVX,SCVX Corp.,10.0,10.01,0.1,95.52,2020
"Jan 17, 2020",IMAB,I-Mab,14.0,0.89,-93.67,72.22,2020
"Jan 17, 2020",SOGP,Sound Group Inc.,11.0,1.24,-88.64,6.12,2020
"Jan 17, 2020",VEL,"Velocity Financial, Inc.",13.0,16.85,29.62,614.88,2020
